# Comprehensive SSSOM Mapping - ALL D4D Attributes
# Includes mapped, recommended, novel, free text, and unmapped attributes
# Date: 2026-04-09T10:17:24.818193
# Total attributes: 284
#
# Status breakdown:
#   free_text: 55
#   mapped: 63
#   novel_d4d: 45
#   recommended: 69
#   unmapped: 52
#
d4d_schema_path	subject_id	subject_label	predicate_id	rocrate_json_path	object_id	object_label	mapping_justification	confidence	comment	author_id	mapping_date	subject_source	object_source	mapping_set_id	mapping_set_version	mapping_status	d4d_description
Dataset.data_annotation_protocol	d4d:data_annotation_protocol	Data Annotation Protocol	skos:exactMatch	@graph[?@type='Dataset']['d4d:data_annotation_protocol']	d4d:data_annotation_protocol	data_annotation_protocol	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Annotation methodology, tasks, and protocols followed during labeling. Includes annotation guideline...
Dataset.data_collectors	d4d:data_collectors	Data Collectors	skos:relatedMatch	@graph[?@type='Dataset']['contributor']	schema:contributor	contributor	semapv:ManualMappingCuration	0.7	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Individuals or organizations responsible for collecting the data. List of DataCollector objects from...
Dataset.data_linkage	d4d:data_linkage	Data Linkage	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	"Can this dataset be linked to other datasets in ways that might compromise participant privacy?
"
Dataset.data_protection_impacts	d4d:data_protection_impacts	Data Protection Impacts	skos:exactMatch	@graph[?@type='Dataset']['d4d:data_protection_impacts']	d4d:data_protection_impacts	data_protection_impacts	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Data protection impact assessments (DPIAs) conducted for the dataset. List of DataProtectionImpact o...
Dataset.data_substrate	d4d:data_substrate	Data Substrate	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	"Type of data (e.g., raw text, images) from Bridge2AI standards.
"
Dataset.data_topic	d4d:data_topic	Data Topic	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	"General topic of each instance (e.g., from Bridge2AI standards).
"
Dataset.data_type	d4d:data_type	Data Type	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	The data type of the variable (e.g., integer, float, string, boolean, date, categorical). Use standa...
Dataset.data_use_permission	d4d:data_use_permission	Data Use Permission	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Structured data use permissions using the Data Use Ontology (DUO). Specifies permitted uses (e.g., g...
Dataset.deidentification_details	d4d:deidentification_details	Deidentification Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"Details on de-identification procedures and residual risks.
"
Dataset.delimiter	d4d:delimiter	Delimiter	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	"Field delimiter character (e.g., "","" for CSV, ""\t"" for TSV)."
Dataset.derivation	d4d:derivation	Derivation	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Description of how this variable was derived or calculated from other variables, if applicable.
Dataset.description	d4d:description	Description	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	A human-readable description for a thing.
Dataset.dialect	d4d:dialect	Dialect	skos:closeMatch	@graph[?@type='Dataset']['encodingFormat']	schema:encodingFormat	encodingFormat	semapv:ManualMappingCuration	0.9	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Specific format dialect or variation (e.g., CSV dialect, JSON-LD profile).
Dataset.direct_collection	d4d:direct_collection	Direct Collection	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Whether data was collected directly from individuals or via third parties. List of DirectCollection ...
Dataset.disagreement_patterns	d4d:disagreement_patterns	Disagreement Patterns	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	Systematic patterns in annotator disagreements (e.g., by demographic group, annotation difficulty, t...
Dataset.discouraged_uses	d4d:discouraged_uses	Discouraged Uses	skos:exactMatch	@graph[?@type='Dataset']['d4d:discouraged_uses']	d4d:discouraged_uses	discouraged_uses	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Uses that are not recommended for this dataset due to limitations, risks, or ethical concerns. List ...
Dataset.discouragement_details	d4d:discouragement_details	Discouragement Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of tasks or applications for which the dataset is not recommended, with explan...
Dataset.distribution	d4d:distribution	Distribution	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	The distribution of instances across identified subpopulations, including counts, percentages, or pr...
Dataset.distribution_dates	d4d:distribution_dates	Distribution Dates	skos:exactMatch	@graph[?@type='Dataset']['dateCreated']	schema:dateCreated	dateCreated	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Dates when the dataset was or will be distributed or released. List of DistributionDate objects from...
Dataset.distribution_formats	d4d:distribution_formats	Distribution Formats	skos:exactMatch	@graph[?@type='Dataset']['evi:formats']	evi:formats	formats	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-comprehensive-v1	1.0	mapped	Formats in which the dataset is distributed or made available. List of DistributionFormat objects fr...
Dataset.doi	d4d:doi	Doi	skos:exactMatch	@graph[?@type='Dataset']['identifier']	schema:identifier	identifier	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Digital Object Identifier (DOI) in format 10.xxxx/xxxxx providing persistent identification (e.g., '...
Dataset.double_quote	d4d:double_quote	Double Quote	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	"Whether quotes within quoted fields are escaped by doubling them. Expected values: ""true"" or ""false""..."
Dataset.download_url	d4d:download_url	Download Url	skos:exactMatch	@graph[?@type='Dataset']['contentUrl']	schema:contentUrl	contentUrl	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	URL from which the data can be downloaded. This is not the same as the landing page, which is a page...
Dataset.email	d4d:email	Email	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	The email address of the person. Represents current/preferred contact information in the context of ...
Dataset.encoding	d4d:encoding	Encoding	skos:closeMatch	@graph[?@type='Dataset']['evi:formats']	evi:formats	formats	semapv:ManualMappingCuration	0.9	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-comprehensive-v1	1.0	mapped	The character encoding of the data.
Dataset.end_date	d4d:end_date	End Date	skos:closeMatch	@graph[?@type='Dataset']['date']	schema:date	date	semapv:SuggestedMapping	0.7	Recommended mapping (confidence: high)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	recommended	End date of data collection.
Dataset.errata	d4d:errata	Errata	skos:exactMatch	@graph[?@type='Dataset']['d4d:errata']	d4d:errata	errata	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Known errors or corrections to the dataset since publication. List of Erratum objects from the Maint...
Dataset.erratum_details	d4d:erratum_details	Erratum Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of the error, its scope, the affected data or records, and the correction appl...
Dataset.erratum_url	d4d:erratum_url	Erratum Url	skos:closeMatch	@graph[?@type='Dataset']['accessURL']	dcat:accessURL	accessURL	semapv:SuggestedMapping	0.5	Recommended mapping (confidence: medium)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://www.w3.org/ns/dcat#	d4d-rocrate-comprehensive-v1	1.0	recommended	URL or access point for the erratum.
Dataset.ethical_reviews	d4d:ethical_reviews	Ethical Reviews	skos:exactMatch	@graph[?@type='Dataset']['d4d:ethical_reviews']	d4d:ethical_reviews	ethical_reviews	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Ethical reviews and institutional oversight for the dataset. List of EthicalReview objects from the ...
Dataset.ethics_review_board	d4d:ethics_review_board	Ethics Review Board	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	"What ethics review board(s) reviewed this research? Include institution names and approval details.
"
Dataset.examples	d4d:examples	Examples	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	List of examples of known/previous uses of the dataset.
Dataset.existing_uses	d4d:existing_uses	Existing Uses	skos:exactMatch	@graph[?@type='Dataset']['rai:dataUseCases']	rai:dataUseCases	dataUseCases	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-comprehensive-v1	1.0	mapped	Known existing uses of the dataset at the time of publication. List of ExistingUse objects from the ...
Dataset.extension_details	d4d:extension_details	Extension Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of how third parties can contribute to the dataset, how contributions are vali...
Dataset.extension_mechanism	d4d:extension_mechanism	Extension Mechanism	skos:closeMatch	@graph[?@type='Dataset']['license']	schema:license	license	semapv:ManualMappingCuration	0.9	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Mechanisms for extending or contributing to the dataset. ExtensionMechanism object from the Maintena...
Dataset.external_resources	d4d:external_resources	External Resources	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	External resources referenced at the dataset level (e.g., related publications, repositories, docume...
Dataset.file_collections	d4d:file_collections	File Collections	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Collections of files within this dataset. Each collection represents a logical grouping of files wit...
Dataset.file_count	d4d:file_count	File Count	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Number of files in this collection.
Dataset.file_type	d4d:file_type	File Type	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Semantic type or purpose of this file (e.g., data_file, code_file, documentation_file, metadata_file...
Dataset.format	d4d:format	Format	skos:exactMatch	@graph[?@type='Dataset']['encodingFormat']	schema:encodingFormat	encodingFormat	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	The file format, physical medium, or dimensions of a resource. This should be a file extension or MI...
Dataset.frequency	d4d:frequency	Frequency	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	How often updates are planned (e.g., quarterly, annually).
Dataset.funders	d4d:funders	Funders	skos:exactMatch	@graph[?@type='Dataset']['funder']	schema:funder	funder	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Funding mechanisms that supported dataset creation. List of FundingMechanism objects describing gran...
Dataset.future_guarantees	d4d:future_guarantees	Future Guarantees	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	"Explanation of any commitments that external resources will remain available and stable over time.
"
Dataset.future_use_impacts	d4d:future_use_impacts	Future Use Impacts	skos:exactMatch	@graph[?@type='Dataset']['d4d:future_use_impacts']	d4d:future_use_impacts	future_use_impacts	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Anticipated impacts of future uses, including risks and benefits. List of FutureUseImpact objects fr...
Dataset.governance_committee_contact	d4d:governance_committee_contact	Governance Committee Contact	skos:exactMatch	@graph[?@type='Dataset']['d4d:governance_committee_contact']	d4d:governance_committee_contact	governance_committee_contact	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Contact person for data governance committee. This person can answer questions about data governance...
Dataset.grant_number	d4d:grant_number	Grant Number	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	The alphanumeric identifier for the grant.
Dataset.grantor	d4d:grantor	Grantor	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Name/identifier of the organization providing monetary or resource support.
Dataset.grants	d4d:grants	Grants	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	Grant mechanisms supporting dataset creation. Multiple grants may fund a single dataset.
Dataset.guardian_consent	d4d:guardian_consent	Guardian Consent	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	For participants unable to provide their own consent, how was guardian or surrogate consent obtained...
Dataset.handling_strategy	d4d:handling_strategy	Handling Strategy	skos:exactMatch	@graph[?@type='Dataset']['d4d:handling_strategy']	d4d:handling_strategy	handling_strategy	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	The primary strategy used to handle missing data (e.g., listwise deletion, mean imputation, multiple...
Dataset.hash	d4d:hash	Hash	skos:exactMatch	@graph[?@type='Dataset']['evi:md5']	evi:md5	md5	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-comprehensive-v1	1.0	mapped	Cryptographic hash value of the data for integrity verification (e.g., SHA-256: 'e3b0c44298fc1c149af...
Dataset.header	d4d:header	Header	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	"Whether the first row of the file contains column headers. Expected values: ""true"" or ""false"" (as st..."
Dataset.hipaa_compliant	d4d:hipaa_compliant	Hipaa Compliant	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	Indicates compliance with the Health Insurance Portability and Accountability Act (HIPAA). HIPAA app...
Dataset.human_subject_research	d4d:human_subject_research	Human Subject Research	skos:exactMatch	@graph[?@type='Dataset']['d4d:humanSubject']	d4d:humanSubject	humanSubject	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	mapped	Information about whether dataset involves human subjects research, including IRB approval, ethics r...
Dataset.id	d4d:id	Id	skos:exactMatch	@graph[?@type='Dataset']['ID']	rdf:ID	ID	semapv:ManualMappingCuration	1.0	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	unknown	d4d-rocrate-comprehensive-v1	1.0	mapped	A unique identifier for a thing.
Dataset.identifiable_elements_present	d4d:identifiable_elements_present	Identifiable Elements Present	semapv:UnmappedProperty				semapv:SuggestedMapping	0.5	Recommended mapping (confidence: low)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	recommended	Indicates whether data subjects can be identified.
Dataset.identification	d4d:identification	Identification	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	How subpopulations are identified and defined (e.g., by age groups, gender, geographic region, disea...
Dataset.identifiers_removed	d4d:identifiers_removed	Identifiers Removed	skos:closeMatch	@graph[?@type='Dataset']['identifier']	schema:identifier	identifier	semapv:SuggestedMapping	0.7	Recommended mapping (confidence: high)	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	recommended	List of identifier types removed during de-identification (e.g., 'name', 'date of birth', 'SSN', 'em...
Dataset.impact_details	d4d:impact_details	Impact Details	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Free-text description of potential future impacts or risks arising from the dataset's composition or...
Dataset.imputation_method	d4d:imputation_method	Imputation Method	skos:exactMatch	@graph[?@type='Dataset']['d4d:imputation_method']	d4d:imputation_method	imputation_method	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Specific imputation technique used (mean, median, mode, forward fill, backward fill, interpolation, ...
Dataset.imputation_protocols	d4d:imputation_protocols	Imputation Protocols	skos:exactMatch	@graph[?@type='Dataset']['d4d:imputation_protocols']	d4d:imputation_protocols	imputation_protocols	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Data imputation protocols applied to handle missing values. List of ImputationProtocol objects from ...
Dataset.imputation_rationale	d4d:imputation_rationale	Imputation Rationale	skos:exactMatch	@graph[?@type='Dataset']['d4d:imputation_rationale']	d4d:imputation_rationale	imputation_rationale	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	Justification for the imputation approach chosen, including assumptions made about missing data mech...
Dataset.imputation_validation	d4d:imputation_validation	Imputation Validation	skos:exactMatch	@graph[?@type='Dataset']['d4d:imputation_validation']	d4d:imputation_validation	imputation_validation	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	"Methods used to validate imputation quality (if any).
"
Dataset.imputed_fields	d4d:imputed_fields	Imputed Fields	skos:exactMatch	@graph[?@type='Dataset']['d4d:imputed_fields']	d4d:imputed_fields	imputed_fields	semapv:ManualMappingCuration	1.0	Novel D4D concept - uses D4D namespace	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/bridge2ai/data-sheets-schema/	d4d-rocrate-comprehensive-v1	1.0	novel_d4d	"Fields or columns where imputation was applied.
"
Dataset.informed_consent	d4d:informed_consent	Informed Consent	semapv:UnmappableProperty				semapv:FreeTextProperty	0.0	Free text/narrative field - no URI needed	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	free_text	Details about informed consent procedures, including consent type, documentation, and withdrawal mec...
Dataset.instance_type	d4d:instance_type	Instance Type	semapv:UnmappedProperty				semapv:RequiresResearch	0.0	Unmapped - needs vocabulary research	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/		d4d-rocrate-comprehensive-v1	1.0	unmapped	"The type or types of instances in the dataset (e.g., ""movie"", ""user"", ""rating"", ""clinical record""). ..."
Dataset.instances	d4d:instances	Instances	skos:relatedMatch	@graph[?@type='Dataset']['variableMeasured']	schema:variableMeasured	variableMeasured	semapv:ManualMappingCuration	0.7	Mapped via SKOS alignment	https://orcid.org/0000-0000-0000-0000	2026-04-09	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-comprehensive-v1	1.0	mapped	Individual data instances or records in the dataset. List of Instance objects from the Composition m...
