# SSSOM (Simple Standard for Sharing Ontology Mappings)
# Generated from D4D SKOS alignment
# Date: 2026-03-19T21:34:44.934189
# Subset: False
# Total mappings: 95
#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	author_id	mapping_date	subject_source	object_source	mapping_set_id	mapping_set_version	in_rocrate_json	in_pydantic_model	in_interface_mapping
d4d:subsets	Subsets	skos:relatedMatch	schema:hasPart	hasPart	semapv:ManualMappingCuration	0.7	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:sampling_strategies	Sampling Strategies	skos:relatedMatch	evi:samplingPlan	samplingPlan	semapv:ManualMappingCuration	0.7	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://w3id.org/EVI#	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:version_access	Version Access	skos:relatedMatch	schema:version	version	semapv:ManualMappingCuration	0.7	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:use_repository	Use Repository	skos:relatedMatch	schema:relatedLink	relatedLink	semapv:ManualMappingCuration	0.7	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:path	Path	skos:narrowMatch	schema:contentUrl	contentUrl	semapv:ManualMappingCuration	0.8	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:is_deidentified	Is Deidentified	skos:narrowMatch	rai:confidentialityLevel	confidentialityLevel	semapv:ManualMappingCuration	0.8	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	http://mlcommons.org/croissant/RAI/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:is_tabular	Is Tabular	skos:narrowMatch	schema:encodingFormat	encodingFormat	semapv:ManualMappingCuration	0.8	Source: Specification	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	false	false	true
d4d:retention_limit	Retention Limit	skos:narrowMatch	schema:conditionsOfAccess	conditionsOfAccess	semapv:ManualMappingCuration	0.8	Source: RO-Crate JSON + Pydantic	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	true	true
d4d:conforms_to_class	Conforms To Class	skos:narrowMatch	schema:conformsTo	conformsTo	semapv:ManualMappingCuration	0.8	Source: RO-Crate JSON	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	false	false
d4d:conforms_to_schema	Conforms To Schema	skos:narrowMatch	schema:conformsTo	conformsTo	semapv:ManualMappingCuration	0.8	Source: RO-Crate JSON	https://orcid.org/0000-0000-0000-0000	2026-03-19	https://w3id.org/bridge2ai/data-sheets-schema/	https://schema.org/	d4d-rocrate-alignment-v1	1.0	true	false	false
